date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:59:07	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Feb%202023%2023:59:10%20GMT	https://themewar.com/html/bittanto/onepage/dark/contact.html	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/contact.html	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:07	2974/2974	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Apr%202021%2017:26:54%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/images/client/8.png	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/images/client/8.png	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:07	5855/5855	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Apr%202021%2017:26:36%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/images/client/9.png	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/images/client/9.png	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:07	1869/1869	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Apr%202021%2017:26:18%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/images/client/10.png	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/images/client/10.png	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:08	2805/2805	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Apr%202021%2017:28:26%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/images/client/11.png	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/images/client/11.png	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:08	7802/7802	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Apr%202021%2017:28:12%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/images/client/12.png	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/images/client/12.png	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:09	1632/1632	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Apr%202021%2017:27:56%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/images/client/13.png	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/images/client/13.png	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:09	1615/1615	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Apr%202021%2017:27:32%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/images/client/14.png	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/images/client/14.png	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:09	3728/3728	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Apr%202021%2017:27:14%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/images/client/15.png	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/images/client/15.png	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:10	10760/10760	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Apr%202021%2017:25:24%20GMT	https://themewar.com/html/bittanto/onepage/dark/single_folio.html	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/single_folio.html	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:11	52282/52282	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Apr%202021%2015:59:22%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/images/folio/1.jpg	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/images/folio/1.jpg	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:11	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Feb%202023%2023:59:15%20GMT	https://themewar.com/html/bittanto/onepage/dark/portfolio.html	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/portfolio.html	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:12	54382/54382	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Apr%202021%2015:59:38%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/images/folio/2.jpg	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/images/folio/2.jpg	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:12	75837/75837	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Apr%202021%2015:59:10%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/images/folio/3.jpg	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/images/folio/3.jpg	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:13	48966/48966	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Apr%202021%2016:48:56%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/images/folio/4.jpg	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/images/folio/4.jpg	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:13	42810/42810	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Apr%202021%2016:49:18%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/images/folio/5.jpg	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/images/folio/5.jpg	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:14	80264/80264	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Apr%202021%2016:49:36%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/images/folio/6.jpg	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/images/folio/6.jpg	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:14	71774/71774	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Apr%202021%2020:04:06%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/images/blog/1.jpg	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/images/blog/1.jpg	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:15	53419/53419	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Apr%202021%2019:30:36%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/images/blog/2.jpg	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/images/blog/2.jpg	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:15	50084/50084	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Apr%202021%2019:30:42%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/images/blog/3.jpg	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/images/blog/3.jpg	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:16	35590/35590	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Apr%202021%2019:32:06%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/images/blog/4.jpg	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/images/blog/4.jpg	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:16	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263dd3cba-4d7%22	https://themewar.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Os%20meus%20Sites/portifolio/themewar.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:17	85579/85579	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2029%20Dec%202019%2003:08:26%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/js/jquery.js	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/js/jquery.js	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:17	60010/60010	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2028%20Nov%202019%2010:59:48%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/js/bootstrap.min.js	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/js/bootstrap.min.js	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:18	2416/2416	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2003%20Jan%202020%2005:55:34%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/js/jquery.appear.js	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/js/jquery.appear.js	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:18	44342/44342	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2030%20Dec%202019%2002:14:48%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/js/owl.carousel.min.js	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/js/owl.carousel.min.js	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:18	15881/15881	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2022%20Jan%202021%2023:18:32%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/js/mixer.js	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/js/mixer.js	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:19	16023/16023	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2021%20Jan%202021%2019:42:56%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/js/lightslider.min.js	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/js/lightslider.min.js	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:19	46173/46173	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2001%20Oct%202020%2023:52:34%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/js/gmaps.js	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/js/gmaps.js	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:20	10956/10956	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2002%20Apr%202021%2000:17:28%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/js/anime.min.js	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/js/anime.min.js	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:20	2118/2118	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2002%20Apr%202021%2015:42:14%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/js/folio.js	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/js/folio.js	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:21	45479/45479	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2004%20Apr%202021%2005:51:54%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/js/jquery.mCustomScrollbar.concat.min.js	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/js/jquery.mCustomScrollbar.concat.min.js	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:21	9376/9376	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2005%20Apr%202021%2017:44:00%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/js/jquery.easytabs.min.js	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/js/jquery.easytabs.min.js	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:22	6457/6457	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2007%20Apr%202021%2017:22:40%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/js/theme.js	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/js/theme.js	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:22	45796/45796	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2014%20May%202014%2020:04:12%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/fonts/Stroke-Gap-Icons.eot	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/fonts/Stroke-Gap-Icons.eot	(from https://themewar.com/html/bittanto/onepage/dark/assets/css/stroke-gap-icons.css)
01:59:23	537868/537868	---M--	200	added ('OK')	font/woff2	date:Thu,%2007%20Jan%202021%2023:21:12%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/fonts/icofont.woff2	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/fonts/icofont.woff2	(from https://themewar.com/html/bittanto/onepage/dark/assets/css/icofont.css)
01:59:24	10206/10206	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2022%20Jan%202021%2017:29:40%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/fonts/Flaticon.eot	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/fonts/Flaticon.eot	(from https://themewar.com/html/bittanto/onepage/dark/assets/css/flaticon.css)
01:59:25	645604/645604	---M--	200	added ('OK')	font/woff	date:Thu,%2007%20Jan%202021%2023:21:12%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/fonts/icofont.woff	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/fonts/icofont.woff	(from https://themewar.com/html/bittanto/onepage/dark/assets/css/icofont.css)
01:59:25	10206/10206	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2022%20Jan%202021%2017:29:40%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/fonts/Flaticon.eot?	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/fonts/Flaticond41d.eot	(from https://themewar.com/html/bittanto/onepage/dark/assets/css/flaticon.css)
01:59:25	5408/5408	---M--	200	added ('OK')	font/woff2	date:Fri,%2022%20Jan%202021%2017:29:40%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/fonts/Flaticon.woff2	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/fonts/Flaticon.woff2	(from https://themewar.com/html/bittanto/onepage/dark/assets/css/flaticon.css)
01:59:26	6424/6424	---M--	200	added ('OK')	font/woff	date:Fri,%2022%20Jan%202021%2017:29:40%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/fonts/Flaticon.woff	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/fonts/Flaticon.woff	(from https://themewar.com/html/bittanto/onepage/dark/assets/css/flaticon.css)
01:59:26	10028/10028	---MCZ	200	added ('OK')	font/ttf	date:Fri,%2022%20Jan%202021%2017:29:40%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/fonts/Flaticon.ttf	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/fonts/Flaticon.ttf	(from https://themewar.com/html/bittanto/onepage/dark/assets/css/flaticon.css)
01:59:28	54826/54826	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2022%20Jan%202021%2017:29:40%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/fonts/Flaticon.svg	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/fonts/Flaticon.svg	(from https://themewar.com/html/bittanto/onepage/dark/assets/css/flaticon.css)
01:59:28	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Feb%202023%2023:59:32%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/css/Flaticon.svg	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/css/Flaticon.svg	(from https://themewar.com/html/bittanto/onepage/dark/assets/css/flaticon.css)
01:59:29	12480/12480	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2001%20Apr%202021%2005:45:08%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/fonts/Interest.eot	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/fonts/Interest.eot	(from https://themewar.com/html/bittanto/onepage/dark/assets/css/Interest.css)
01:59:29	12480/12480	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2001%20Apr%202021%2005:45:08%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/fonts/Interest.eot?	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/fonts/Interestd41d.eot	(from https://themewar.com/html/bittanto/onepage/dark/assets/css/Interest.css)
